"ID";"Geslacht";"Leeftijd";"RegioS";"Perioden";"TotaalPersonenInHuishoudens_1";"TotaalInParticuliereHuishoudens_2";"ThuiswonendKind_3";"Alleenstaand_4";"TotaalSamenwonendePersonen_5";"PartnerInNietGehuwdPaarZonderKi_6";"PartnerInGehuwdPaarZonderKinderen_7";"PartnerInNietGehuwdPaarMetKinderen_8";"PartnerInGehuwdPaarMetKinderen_9";"OuderInEenouderhuishouden_10";"OverigLidHuishouden_11";"PersonenInInstitutioneleHuishoudens_12"
"0";"T001038";"10000";"NL01  ";"2000JJ00";"15863943";"15639815";" 4541102";" 2272219";" 8196032";"  989259";" 3042126";"  325531";" 3839116";"  384318";"  246144";"  224128"
"1";"T001038";"10000";"NL01  ";"2001JJ00";"15987074";"15768027";" 4577995";" 2307075";" 8231824";"  991072";" 3061444";"  356776";" 3822532";"  396353";"  254780";"  219047"
"2";"T001038";"10000";"NL01  ";"2002JJ00";"16105283";"15888494";" 4615571";" 2344903";" 8257686";"  998178";" 3069784";"  394190";" 3795534";"  411691";"  258643";"  216789"
"3";"T001038";"10000";"NL01  ";"2003JJ00";"16192572";"15977797";" 4628992";" 2383580";" 8278756";"  999883";" 3093312";"  428267";" 3757294";"  424124";"  262345";"  214775"
"4";"T001038";"10000";"NL01  ";"2004JJ00";"16258032";"16043120";" 4635325";" 2423950";" 8286332";"  990083";" 3112686";"  463013";" 3720550";"  433972";"  263541";"  214912"
"5";"T001038";"10000";"NL01  ";"2005JJ00";"16305526";"16092324";" 4634684";" 2449378";" 8298507";"  996744";" 3127616";"  497083";" 3677064";"  444124";"  265631";"  213202"
"6";"T001038";"10000";"NL01  ";"2006JJ00";"16334210";"16125557";" 4620345";" 2502084";" 8287373";"  989696";" 3144304";"  528319";" 3625054";"  452370";"  263385";"  208653"
"7";"T001038";"10000";"NL01  ";"2007JJ00";"16357992";"16151260";" 4601146";" 2536891";" 8291831";"  992062";" 3167912";"  561743";" 3570114";"  458881";"  262511";"  206732"
"8";"T001038";"10000";"NL01  ";"2008JJ00";"16405399";"16198535";" 4585036";" 2571014";" 8309482";" 1002666";" 3192638";"  597154";" 3517024";"  465704";"  267299";"  206864"
"9";"T001038";"10000";"NL01  ";"2009JJ00";"16485787";"16278784";" 4579646";" 2619394";" 8331248";" 1010074";" 3218836";"  629132";" 3473206";"  474909";"  273587";"  207003"
"10";"T001038";"10000";"NL01  ";"2010JJ00";"16574989";"16366302";" 4582223";" 2669516";" 8351932";" 1011414";" 3243236";"  661046";" 3436236";"  486250";"  276381";"  208687"
"11";"T001038";"10000";"NL01  ";"2011JJ00";"16655799";"16436484";" 4584272";" 2708251";" 8390655";" 1028748";" 3259025";"  699207";" 3403675";"  496272";"  257034";"  219315"
"12";"T001038";"10000";"NL01  ";"2012JJ00";"16730348";"16511124";" 4590769";" 2761764";" 8392958";" 1023588";" 3273354";"  722336";" 3373680";"  510894";"  254739";"  219224"
"13";"T001038";"10000";"NL01  ";"2013JJ00";"16779575";"16564791";" 4584600";" 2802182";" 8405274";" 1035156";" 3284622";"  750330";" 3335166";"  521578";"  251157";"  214784"
"14";"T001038";"10000";"NL01  ";"2014JJ00";"16829289";"16579347";" 4575606";" 2803852";" 8416336";" 1057062";" 3291278";"  776920";" 3291076";"  535870";"  247683";"  249942"
"15";"T001038";"10000";"NL01  ";"2015JJ00";"16900726";"16655932";" 4569209";" 2867797";" 8420057";" 1062311";" 3302758";"  807030";" 3247958";"  545289";"  253580";"  244794"
"16";"T001038";"10000";"NL01  ";"2016JJ00";"16979120";"16724232";" 4575382";" 2906334";" 8430396";" 1081262";" 3306646";"  826886";" 3215602";"  557426";"  254694";"  254888"
"17";"T001038";"10000";"NL01  ";"2017JJ00";"17081507";"16836205";" 4590985";" 2961228";" 8458470";" 1096652";" 3314754";"  854552";" 3192512";"  562124";"  263398";"  245302"
"18";"T001038";"10000";"NL01  ";"2018JJ00";"17181084";"16932312";" 4607972";" 2997617";" 8494992";" 1124866";" 3325188";"  870430";" 3174508";"  572419";"  259312";"  248772"
"19";"T001038";"10000";"NL01  ";"2019JJ00";"17282163";"17035502";" 4626741";" 3037622";" 8528704";" 1150080";" 3333292";"  881918";" 3163414";"  582106";"  260329";"  246661"
"20";"T001038";"10000";"NL01  ";"2020JJ00";"17407585";"17148722";" 4643605";" 3079778";" 8574862";" 1179832";" 3344778";"  894568";" 3155684";"  589975";"  260502";"  258863"
"21";"T001038";"10000";"NL01  ";"2021JJ00";"17475415";"17216655";" 4637308";" 3097117";" 8622770";" 1240158";" 3340610";"  915288";" 3126714";"  593871";"  265589";"  258760"
"22";"T001038";"10000";"NL01  ";"2022JJ00";"17590672";"17328133";" 4638955";" 3172564";" 8655582";" 1266754";" 3349236";"  932163";" 3107429";"  596408";"  264624";"  262539"
"23";"T001038";"10000";"NL01  ";"2023JJ00";"17811291";"17535267";" 4683450";" 3266042";" 8702082";" 1277524";" 3355286";"  940378";" 3128894";"  610633";"  273060";"  276024"
"24";"T001038";"10000";"NL01  ";"2024JJ00";"17942942";"17653766";" 4670903";" 3340560";" 8737472";" 1302376";" 3375340";"  939236";" 3120520";"  618056";"  286775";"  289176"
"125";"T001038";"10000";"PV20  ";"2000JJ00";"  562646";"  554467";"  144731";"  100762";"  287367";"   41417";"  112340";"   13686";"  119924";"   13355";"    8252";"    8179"
"126";"T001038";"10000";"PV20  ";"2001JJ00";"  566489";"  558284";"  145585";"  101327";"  289189";"   42179";"  112864";"   14936";"  119210";"   13707";"    8476";"    8205"
"127";"T001038";"10000";"PV20  ";"2002JJ00";"  570480";"  562355";"  147260";"  102048";"  290296";"   42551";"  112826";"   16651";"  118268";"   14217";"    8534";"    8125"
"128";"T001038";"10000";"PV20  ";"2003JJ00";"  572997";"  564887";"  147396";"  103225";"  290709";"   42774";"  113212";"   17947";"  116776";"   14492";"    9065";"    8110"
"129";"T001038";"10000";"PV20  ";"2004JJ00";"  574384";"  566494";"  147171";"  105144";"  290489";"   42814";"  113594";"   19367";"  114714";"   14765";"    8925";"    7890"
"130";"T001038";"10000";"PV20  ";"2005JJ00";"  575072";"  567212";"  146786";"  105796";"  290382";"   43157";"  113712";"   20515";"  112998";"   15163";"    9085";"    7860"
"131";"T001038";"10000";"PV20  ";"2006JJ00";"  574042";"  566219";"  146062";"  107936";"  287760";"   41620";"  113608";"   21654";"  110878";"   15404";"    9057";"    7823"
"132";"T001038";"10000";"PV20  ";"2007JJ00";"  573614";"  566025";"  144599";"  109901";"  286772";"   41810";"  113724";"   22740";"  108498";"   15559";"    9194";"    7589"
"133";"T001038";"10000";"PV20  ";"2008JJ00";"  573459";"  565778";"  143133";"  111305";"  285886";"   42074";"  114210";"   23764";"  105838";"   15843";"    9611";"    7681"
"134";"T001038";"10000";"PV20  ";"2009JJ00";"  574092";"  566102";"  141833";"  112971";"  285634";"   42106";"  114864";"   25064";"  103600";"   15987";"    9677";"    7990"
"135";"T001038";"10000";"PV20  ";"2010JJ00";"  576668";"  568711";"  141266";"  115236";"  285933";"   42521";"  115548";"   26082";"  101782";"   16276";"   10000";"    7957"
"136";"T001038";"10000";"PV20  ";"2011JJ00";"  579036";"  570825";"  140717";"  118420";"  285120";"   41695";"  115802";"   27359";"  100264";"   16539";"   10029";"    8211"
"137";"T001038";"10000";"PV20  ";"2012JJ00";"  580875";"  572712";"  140266";"  122018";"  283720";"   41232";"  115894";"   27810";"   98784";"   17024";"    9684";"    8163"
"138";"T001038";"10000";"PV20  ";"2013JJ00";"  581705";"  573923";"  139314";"  124778";"  283256";"   41908";"  115818";"   28694";"   96836";"   17244";"    9331";"    7782"
"139";"T001038";"10000";"PV20  ";"2014JJ00";"  582728";"  572967";"  138236";"  125559";"  281833";"   42812";"  115504";"   28989";"   94528";"   17899";"    9440";"    9761"
"140";"T001038";"10000";"PV20  ";"2015JJ00";"  583942";"  574497";"  137308";"  129003";"  280132";"   42594";"  115386";"   29492";"   92660";"   18230";"    9824";"    9445"
"141";"T001038";"10000";"PV20  ";"2016JJ00";"  583721";"  573502";"  136282";"  129969";"  279404";"   43878";"  114948";"   29956";"   90622";"   18523";"    9324";"   10219"
"142";"T001038";"10000";"PV20  ";"2017JJ00";"  583581";"  574260";"  135840";"  131134";"  279172";"   44698";"  114450";"   30616";"   89408";"   18585";"    9529";"    9321"
"143";"T001038";"10000";"PV20  ";"2018JJ00";"  582944";"  574102";"  135450";"  132326";"  278424";"   45522";"  114172";"   30718";"   88012";"   18859";"    9043";"    8842"
"144";"T001038";"10000";"PV20  ";"2019JJ00";"  583990";"  574996";"  134995";"  133537";"  278499";"   46910";"  113842";"   30769";"   86978";"   19128";"    8837";"    8994"
"145";"T001038";"10000";"PV20  ";"2020JJ00";"  585866";"  576187";"  134469";"  134986";"  278678";"   48022";"  113852";"   30636";"   86168";"   19318";"    8736";"    9679"
"146";"T001038";"10000";"PV20  ";"2021JJ00";"  586937";"  576712";"  133408";"  135353";"  279840";"   50460";"  113772";"   30738";"   84870";"   19305";"    8806";"   10225"
"147";"T001038";"10000";"PV20  ";"2022JJ00";"  590170";"  579356";"  133354";"  138299";"  279668";"   51004";"  113218";"   31040";"   84406";"   19291";"    8744";"   10814"
"148";"T001038";"10000";"PV20  ";"2023JJ00";"  596075";"  584891";"  134730";"  140770";"  280696";"   51588";"  112802";"   31078";"   85228";"   19773";"    8922";"   11184"
"149";"T001038";"10000";"PV20  ";"2024JJ00";"  601347";"  589724";"  133714";"  146629";"  280032";"   52074";"  112492";"   30724";"   84742";"   19854";"    9495";"   11623"
"150";"T001038";"10000";"PV21  ";"2000JJ00";"  624500";"  615452";"  184188";"   80655";"  331529";"   38658";"  125618";"   13029";"  154224";"   12735";"    6345";"    9048"
"151";"T001038";"10000";"PV21  ";"2001JJ00";"  630539";"  621712";"  185673";"   82699";"  333921";"   38819";"  127280";"   14692";"  153130";"   13164";"    6255";"    8827"
"152";"T001038";"10000";"PV21  ";"2002JJ00";"  636184";"  627650";"  186895";"   84341";"  336161";"   39561";"  128234";"   16646";"  151720";"   13726";"    6527";"    8534"
"153";"T001038";"10000";"PV21  ";"2003JJ00";"  639787";"  631797";"  187254";"   86135";"  337659";"   39437";"  129694";"   18606";"  149922";"   14096";"    6653";"    7990"
"154";"T001038";"10000";"PV21  ";"2004JJ00";"  642066";"  634072";"  187391";"   87220";"  338422";"   39098";"  130656";"   20266";"  148402";"   14416";"    6623";"    7994"
"155";"T001038";"10000";"PV21  ";"2005JJ00";"  642977";"  634751";"  186792";"   88109";"  338500";"   39062";"  131614";"   21682";"  146142";"   14711";"    6639";"    8226"
"156";"T001038";"10000";"PV21  ";"2006JJ00";"  642230";"  633974";"  185333";"   88670";"  338466";"   39438";"  132562";"   23114";"  143352";"   15015";"    6490";"    8256"
"157";"T001038";"10000";"PV21  ";"2007JJ00";"  642209";"  633944";"  184014";"   89072";"  339039";"   39555";"  134282";"   24842";"  140360";"   15212";"    6607";"    8265"
"158";"T001038";"10000";"PV21  ";"2008JJ00";"  643189";"  634750";"  182897";"   90207";"  339204";"   39836";"  135624";"   26148";"  137596";"   15721";"    6721";"    8439"
"159";"T001038";"10000";"PV21  ";"2009JJ00";"  644811";"  636181";"  181832";"   91996";"  339428";"   39930";"  136964";"   27488";"  135046";"   15965";"    6960";"    8630"
"160";"T001038";"10000";"PV21  ";"2010JJ00";"  646305";"  637711";"  181268";"   93460";"  339399";"   39401";"  138018";"   28566";"  133414";"   16294";"    7290";"    8594"
"161";"T001038";"10000";"PV21  ";"2011JJ00";"  647282";"  638029";"  180419";"   95296";"  338622";"   38972";"  138035";"   29998";"  131617";"   16596";"    7096";"    9253"
"162";"T001038";"10000";"PV21  ";"2012JJ00";"  647214";"  637613";"  179462";"   96461";"  337716";"   38644";"  138582";"   31038";"  129452";"   17029";"    6945";"    9601"
"163";"T001038";"10000";"PV21  ";"2013JJ00";"  646862";"  637505";"  178565";"   98132";"  336710";"   38398";"  138718";"   31976";"  127618";"   17353";"    6745";"    9357"
"164";"T001038";"10000";"PV21  ";"2014JJ00";"  646317";"  635407";"  177065";"   98622";"  335214";"   38710";"  138760";"   33086";"  124658";"   17896";"    6610";"   10910"
"165";"T001038";"10000";"PV21  ";"2015JJ00";"  646257";"  635037";"  175801";"  100022";"  334182";"   38840";"  139062";"   34142";"  122138";"   18132";"    6900";"   11220"
"166";"T001038";"10000";"PV21  ";"2016JJ00";"  646040";"  634452";"  175012";"  101035";"  332638";"   38980";"  138754";"   34620";"  120284";"   18696";"    7071";"   11588"
"167";"T001038";"10000";"PV21  ";"2017JJ00";"  646874";"  635537";"  174250";"  103458";"  331782";"   39324";"  138640";"   35566";"  118252";"   18855";"    7192";"   11337"
"168";"T001038";"10000";"PV21  ";"2018JJ00";"  647268";"  635586";"  173578";"  104418";"  331080";"   39574";"  139126";"   36006";"  116374";"   19278";"    7232";"   11682"
"169";"T001038";"10000";"PV21  ";"2019JJ00";"  647672";"  636679";"  173119";"  106154";"  330474";"   39672";"  139360";"   36160";"  115282";"   19694";"    7238";"   10993"
"170";"T001038";"10000";"PV21  ";"2020JJ00";"  649957";"  638412";"  172479";"  108082";"  330508";"   40270";"  139636";"   36490";"  114112";"   20026";"    7317";"   11545"
"171";"T001038";"10000";"PV21  ";"2021JJ00";"  651435";"  639620";"  171552";"  108825";"  331440";"   41964";"  139838";"   37000";"  112638";"   20209";"    7594";"   11815"
"172";"T001038";"10000";"PV21  ";"2022JJ00";"  654019";"  642192";"  171319";"  111595";"  331556";"   42282";"  140156";"   37576";"  111542";"   20215";"    7507";"   11827"
"173";"T001038";"10000";"PV21  ";"2023JJ00";"  659551";"  647295";"  172527";"  113890";"  332384";"   42502";"  140000";"   37894";"  111988";"   20676";"    7818";"   12256"
"174";"T001038";"10000";"PV21  ";"2024JJ00";"  661904";"  649032";"  170695";"  116800";"  332600";"   43638";"  140508";"   37738";"  110716";"   20819";"    8118";"   12872"
"175";"T001038";"10000";"PV22  ";"2000JJ00";"  469806";"  461944";"  134772";"   50450";"  262143";"   26849";"  106464";"    8814";"  120016";"    8811";"    5768";"    7862"
"176";"T001038";"10000";"PV22  ";"2001JJ00";"  474506";"  466676";"  136302";"   52144";"  263402";"   26662";"  107336";"    9946";"  119458";"    9352";"    5476";"    7830"
"177";"T001038";"10000";"PV22  ";"2002JJ00";"  478799";"  471086";"  137616";"   53528";"  264784";"   26540";"  108196";"   11408";"  118640";"    9664";"    5494";"    7713"
"178";"T001038";"10000";"PV22  ";"2003JJ00";"  481254";"  473436";"  138043";"   54566";"  265342";"   26578";"  108582";"   12834";"  117348";"    9967";"    5518";"    7818"
"179";"T001038";"10000";"PV22  ";"2004JJ00";"  482415";"  474477";"  137770";"   55685";"  265335";"   26243";"  109368";"   14000";"  115724";"   10232";"    5455";"    7938"
"180";"T001038";"10000";"PV22  ";"2005JJ00";"  483369";"  475449";"  137523";"   56596";"  265302";"   26158";"  110260";"   15244";"  113640";"   10593";"    5435";"    7920"
"181";"T001038";"10000";"PV22  ";"2006JJ00";"  484481";"  476807";"  137240";"   57609";"  265331";"   26099";"  111012";"   16336";"  111884";"   11033";"    5594";"    7674"
"182";"T001038";"10000";"PV22  ";"2007JJ00";"  486197";"  478658";"  136652";"   58830";"  266230";"   26546";"  112262";"   17458";"  109964";"   11337";"    5609";"    7539"
"183";"T001038";"10000";"PV22  ";"2008JJ00";"  488135";"  480694";"  136284";"   60104";"  267124";"   26662";"  113708";"   18702";"  108052";"   11661";"    5521";"    7441"
"184";"T001038";"10000";"PV22  ";"2009JJ00";"  489918";"  482374";"  135752";"   61336";"  267881";"   26893";"  114912";"   19834";"  106242";"   11921";"    5484";"    7544"
"185";"T001038";"10000";"PV22  ";"2010JJ00";"  490981";"  483592";"  135343";"   62723";"  267524";"   26930";"  115462";"   20720";"  104412";"   12409";"    5593";"    7389"
"186";"T001038";"10000";"PV22  ";"2011JJ00";"  491411";"  483527";"  134744";"   63541";"  266739";"   26802";"  115458";"   21773";"  102706";"   12610";"    5893";"    7884"
"187";"T001038";"10000";"PV22  ";"2012JJ00";"  490807";"  482977";"  133851";"   64800";"  265462";"   26214";"  115876";"   22544";"  100828";"   12933";"    5931";"    7830"
"188";"T001038";"10000";"PV22  ";"2013JJ00";"  489918";"  482033";"  132918";"   65635";"  264312";"   26192";"  115926";"   23320";"   98874";"   13355";"    5813";"    7885"
"189";"T001038";"10000";"PV22  ";"2014JJ00";"  488988";"  479543";"  131457";"   65423";"  263276";"   26480";"  115690";"   24136";"   96970";"   13635";"    5752";"    9445"
"190";"T001038";"10000";"PV22  ";"2015JJ00";"  488576";"  479166";"  130472";"   66526";"  262405";"   26411";"  116092";"   25008";"   94894";"   13888";"    5875";"    9410"
"191";"T001038";"10000";"PV22  ";"2016JJ00";"  488629";"  478248";"  129413";"   67541";"  261492";"   26568";"  116364";"   25432";"   93128";"   14019";"    5783";"   10381"
"192";"T001038";"10000";"PV22  ";"2017JJ00";"  491792";"  480199";"  129099";"   69546";"  261358";"   26924";"  116560";"   26236";"   91638";"   14220";"    5976";"   11593"
"193";"T001038";"10000";"PV22  ";"2018JJ00";"  492100";"  481135";"  128844";"   70454";"  261228";"   27652";"  116532";"   26438";"   90606";"   14638";"    5971";"   10965"
"194";"T001038";"10000";"PV22  ";"2019JJ00";"  492167";"  482320";"  128561";"   71611";"  261274";"   28238";"  116870";"   26756";"   89410";"   14895";"    5979";"    9847"
"195";"T001038";"10000";"PV22  ";"2020JJ00";"  493682";"  483405";"  128110";"   72904";"  261052";"   28510";"  117302";"   26962";"   88278";"   15178";"    6161";"   10277"
"196";"T001038";"10000";"PV22  ";"2021JJ00";"  494771";"  484499";"  127492";"   73490";"  261966";"   29714";"  117698";"   27488";"   87066";"   15214";"    6337";"   10272"
"197";"T001038";"10000";"PV22  ";"2022JJ00";"  497743";"  486892";"  127755";"   74843";"  262794";"   30358";"  117776";"   27984";"   86676";"   15234";"    6266";"   10851"
"198";"T001038";"10000";"PV22  ";"2023JJ00";"  502051";"  491025";"  128708";"   76640";"  263506";"   30686";"  117504";"   28040";"   87276";"   15654";"    6517";"   11026"
"199";"T001038";"10000";"PV22  ";"2024JJ00";"  504129";"  492091";"  127636";"   78194";"  263770";"   31402";"  117978";"   27858";"   86532";"   15760";"    6731";"   12038"
"200";"T001038";"10000";"PV23  ";"2000JJ00";" 1077625";" 1063816";"  329186";"  128854";"  566513";"   60721";"  205878";"   17300";"  282614";"   20506";"   18757";"   13809"
"201";"T001038";"10000";"PV23  ";"2001JJ00";" 1086280";" 1072909";"  331493";"  130195";"  569680";"   60967";"  206950";"   19443";"  282320";"   20914";"   20627";"   13371"
"202";"T001038";"10000";"PV23  ";"2002JJ00";" 1094032";" 1080661";"  333262";"  133216";"  572808";"   61983";"  208120";"   21603";"  281102";"   21632";"   19743";"   13371"
"203";"T001038";"10000";"PV23  ";"2003JJ00";" 1100677";" 1087160";"  333849";"  136714";"  574834";"   61944";"  210164";"   23888";"  278838";"   22215";"   19548";"   13517"
"204";"T001038";"10000";"PV23  ";"2004JJ00";" 1105512";" 1092285";"  334573";"  139631";"  575557";"   61347";"  211188";"   25846";"  277176";"   22976";"   19548";"   13227"
"205";"T001038";"10000";"PV23  ";"2005JJ00";" 1109432";" 1096461";"  334469";"  141901";"  577233";"   62249";"  212564";"   28094";"  274326";"   23584";"   19274";"   12971"
"206";"T001038";"10000";"PV23  ";"2006JJ00";" 1113529";" 1100575";"  334435";"  145467";"  577762";"   61896";"  214044";"   30326";"  271496";"   24099";"   18812";"   12954"
"207";"T001038";"10000";"PV23  ";"2007JJ00";" 1116374";" 1103550";"  333936";"  147629";"  578751";"   61699";"  216044";"   32656";"  268352";"   24649";"   18585";"   12824"
"208";"T001038";"10000";"PV23  ";"2008JJ00";" 1119994";" 1106892";"  332706";"  149632";"  581082";"   62608";"  218466";"   35014";"  264994";"   24988";"   18484";"   13102"
"209";"T001038";"10000";"PV23  ";"2009JJ00";" 1125435";" 1112723";"  332492";"  152832";"  583024";"   63014";"  220658";"   37090";"  262262";"   25537";"   18838";"   12712"
"210";"T001038";"10000";"PV23  ";"2010JJ00";" 1130345";" 1117609";"  332524";"  155795";"  585127";"   63443";"  222384";"   39568";"  259732";"   26147";"   18016";"   12736"
"211";"T001038";"10000";"PV23  ";"2011JJ00";" 1134465";" 1120694";"  332239";"  157266";"  586938";"   64085";"  223786";"   41887";"  257180";"   26739";"   17512";"   13771"
"212";"T001038";"10000";"PV23  ";"2012JJ00";" 1137668";" 1123646";"  332288";"  159341";"  587416";"   63606";"  225190";"   43590";"  255030";"   27428";"   17173";"   14022"
"213";"T001038";"10000";"PV23  ";"2013JJ00";" 1139350";" 1125676";"  331604";"  161265";"  587988";"   63892";"  226158";"   45730";"  252208";"   28201";"   16618";"   13674"
"214";"T001038";"10000";"PV23  ";"2014JJ00";" 1139697";" 1122562";"  330780";"  159047";"  587229";"   64680";"  225838";"   47685";"  249026";"   29218";"   16288";"   17135"
"215";"T001038";"10000";"PV23  ";"2015JJ00";" 1140652";" 1123908";"  329379";"  162100";"  586150";"   64290";"  226664";"   49500";"  245696";"   29933";"   16346";"   16744"
"216";"T001038";"10000";"PV23  ";"2016JJ00";" 1144280";" 1126367";"  328814";"  164836";"  585458";"   65314";"  226928";"   50540";"  242676";"   30763";"   16496";"   17913"
"217";"T001038";"10000";"PV23  ";"2017JJ00";" 1147687";" 1131448";"  328865";"  168884";"  585714";"   65514";"  228100";"   52024";"  240076";"   31300";"   16685";"   16239"
"218";"T001038";"10000";"PV23  ";"2018JJ00";" 1151501";" 1134684";"  328689";"  171917";"  585936";"   66482";"  228778";"   53144";"  237532";"   31924";"   16218";"   16817"
"219";"T001038";"10000";"PV23  ";"2019JJ00";" 1156431";" 1139770";"  328653";"  175440";"  586954";"   67714";"  229878";"   54002";"  235360";"   32671";"   16052";"   16661"
"220";"T001038";"10000";"PV23  ";"2020JJ00";" 1162406";" 1144695";"  328629";"  178588";"  588364";"   68818";"  231012";"   54958";"  233576";"   33410";"   15704";"   17711"
"221";"T001038";"10000";"PV23  ";"2021JJ00";" 1166533";" 1148729";"  327419";"  180716";"  590522";"   72352";"  230948";"   56106";"  231116";"   33799";"   16273";"   17804"
"222";"T001038";"10000";"PV23  ";"2022JJ00";" 1171910";" 1153807";"  327030";"  184820";"  591958";"   73168";"  231856";"   57342";"  229592";"   33846";"   16153";"   18103"
"223";"T001038";"10000";"PV23  ";"2023JJ00";" 1184333";" 1165088";"  330273";"  189320";"  594074";"   72732";"  232250";"   57944";"  231148";"   34917";"   16504";"   19245"
"224";"T001038";"10000";"PV23  ";"2024JJ00";" 1189033";" 1169058";"  328029";"  192950";"  595660";"   73708";"  233664";"   58022";"  230266";"   35331";"   17088";"   19975"
"225";"T001038";"10000";"PV24  ";"2000JJ00";"  317206";"  315602";"  106772";"   31419";"  165139";"   19107";"   51770";"    9188";"   85074";"    8344";"    3928";"    1604"
"226";"T001038";"10000";"PV24  ";"2001JJ00";"  328936";"  327291";"  110398";"   33240";"  170449";"   19811";"   53466";"   10272";"   86900";"    8987";"    4217";"    1645"
"227";"T001038";"10000";"PV24  ";"2002JJ00";"  341721";"  339870";"  114498";"   35203";"  175774";"   20484";"   54904";"   11682";"   88704";"    9773";"    4622";"    1851"
"228";"T001038";"10000";"PV24  ";"2003JJ00";"  351680";"  349593";"  117686";"   36697";"  179897";"   20991";"   56058";"   12880";"   89968";"   10589";"    4724";"    2087"
"229";"T001038";"10000";"PV24  ";"2004JJ00";"  359904";"  357622";"  120208";"   38307";"  182649";"   20697";"   57306";"   13894";"   90752";"   11289";"    5169";"    2282"
"230";"T001038";"10000";"PV24  ";"2005JJ00";"  365859";"  363406";"  122009";"   39331";"  184762";"   20710";"   58334";"   14836";"   90882";"   11996";"    5308";"    2453"
"231";"T001038";"10000";"PV24  ";"2006JJ00";"  370656";"  368407";"  123370";"   40809";"  186164";"   20520";"   59174";"   15616";"   90854";"   12600";"    5464";"    2249"
"232";"T001038";"10000";"PV24  ";"2007JJ00";"  374424";"  372038";"  124091";"   41768";"  187520";"   20468";"   60030";"   16300";"   90722";"   12994";"    5665";"    2386"
"233";"T001038";"10000";"PV24  ";"2008JJ00";"  378688";"  376272";"  124857";"   43198";"  189022";"   20460";"   60698";"   17114";"   90750";"   13252";"    5943";"    2416"
"234";"T001038";"10000";"PV24  ";"2009JJ00";"  383449";"  380691";"  125300";"   44760";"  190739";"   20419";"   62106";"   17696";"   90518";"   13637";"    6255";"    2758"
"235";"T001038";"10000";"PV24  ";"2010JJ00";"  387881";"  384862";"  126050";"   46530";"  191833";"   20225";"   63236";"   18414";"   89958";"   14162";"    6287";"    3019"
"236";"T001038";"10000";"PV24  ";"2011JJ00";"  391967";"  388783";"  126904";"   47388";"  193367";"   20561";"   64001";"   18993";"   89812";"   14588";"    6536";"    3184"
"237";"T001038";"10000";"PV24  ";"2012JJ00";"  395525";"  392135";"  127646";"   49085";"  193815";"   20239";"   64846";"   19320";"   89410";"   15222";"    6367";"    3390"
"238";"T001038";"10000";"PV24  ";"2013JJ00";"  398441";"  394965";"  127935";"   49951";"  194904";"   20462";"   65672";"   19942";"   88828";"   15541";"    6634";"    3476"
"239";"T001038";"10000";"PV24  ";"2014JJ00";"  399893";"  394398";"  127574";"   49246";"  195264";"   20746";"   66094";"   20302";"   88122";"   15802";"    6512";"    5495"
"240";"T001038";"10000";"PV24  ";"2015JJ00";"  401791";"  396300";"  127479";"   50586";"  195361";"   20671";"   66808";"   20858";"   87024";"   16147";"    6727";"    5491"
"241";"T001038";"10000";"PV24  ";"2016JJ00";"  404068";"  398370";"  127904";"   51417";"  195496";"   20636";"   67462";"   21002";"   86396";"   16699";"    6854";"    5698"
"242";"T001038";"10000";"PV24  ";"2017JJ00";"  407818";"  402065";"  128484";"   52633";"  196810";"   20608";"   68384";"   21642";"   86176";"   16786";"    7352";"    5753"
"243";"T001038";"10000";"PV24  ";"2018JJ00";"  411670";"  406185";"  129444";"   53370";"  198738";"   21486";"   69102";"   22058";"   86092";"   17176";"    7457";"    5485"
"244";"T001038";"10000";"PV24  ";"2019JJ00";"  416546";"  411497";"  130655";"   54608";"  201085";"   22152";"   70110";"   22451";"   86372";"   17531";"    7618";"    5049"
"245";"T001038";"10000";"PV24  ";"2020JJ00";"  423021";"  417048";"  131948";"   56224";"  203298";"   22402";"   71126";"   22948";"   86822";"   17832";"    7746";"    5973"
"246";"T001038";"10000";"PV24  ";"2021JJ00";"  428226";"  422139";"  133032";"   56743";"  206212";"   23542";"   72066";"   23840";"   86764";"   18165";"    7987";"    6087"
"247";"T001038";"10000";"PV24  ";"2022JJ00";"  434771";"  428927";"  134185";"   58982";"  209408";"   24572";"   73606";"   24270";"   86960";"   18490";"    7862";"    5844"
"248";"T001038";"10000";"PV24  ";"2023JJ00";"  444701";"  438339";"  136376";"   61932";"  212798";"   24972";"   74832";"   24568";"   88426";"   18944";"    8289";"    6362"
"249";"T001038";"10000";"PV24  ";"2024JJ00";"  450826";"  443790";"  137241";"   63599";"  214948";"   25460";"   75654";"   24484";"   89350";"   19304";"    8698";"    7036"
"250";"T001038";"10000";"PV25  ";"2000JJ00";" 1919158";" 1887934";"  569559";"  235498";" 1012643";"  110702";"  373282";"   34779";"  493880";"   38525";"   31709";"   31224"
"251";"T001038";"10000";"PV25  ";"2001JJ00";" 1934314";" 1903731";"  574540";"  239311";" 1017865";"  110608";"  376014";"   38555";"  492688";"   39634";"   32381";"   30583"
"252";"T001038";"10000";"PV25  ";"2002JJ00";" 1949233";" 1918668";"  579794";"  244115";" 1021168";"  110429";"  377028";"   42881";"  490830";"   41085";"   32506";"   30565"
